State,District,Confirmed,Recovered,Deceased,Zone,Age Bracket,Transmission Type,Population Density,Transmission rate,Deceased Rate,Predictions
Bihar,Katihar,7183,7106,12,Green Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Khagaria,3071,3044,12,Green Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Kishanganj,4289,4155,13,Green Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Lakhisarai,3731,3575,9,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Madhepura,4826,4773,17,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Madhubani,7613,7550,33,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Munger,4168,4059,51,Red Zone,Children or adolescent,Local,185,Normal,0,1
Bihar,Muzaffarpur,11634,11348,45,Green Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Nalanda,8140,7995,56,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Nawada,4177,4023,23,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Patna,49372,46954,380,Red Zone,Children or adolescent,Local,185,High,1,1
Bihar,Purnia,9273,9216,23,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Rohtas,6699,6609,45,Red Zone,Children or adolescent,Local,185,Normal,0,1
Bihar,Saharsa,6739,6658,12,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Samastipur,5195,5129,34,Green Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Saran,7159,6907,55,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Sheikhpura,2981,2964,13,Green Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Sheohar,1447,1418,1,Green Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Sitamarhi,4374,4271,15,Green Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Siwan,4686,4603,32,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Supaul,5582,5536,18,Green Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Vaishali,5425,5303,46,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,West Champaran,5988,5886,22,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Chandigarh,Chandigarh,19865,19226,319,Red Zone,Children or adolescent,Local,230,High,1,1
Chhattisgarh,Durg,22843,20691,568,Green Zone,Children or adolescent,Local,209,High,2,0
Chhattisgarh,Korba,16047,15803,110,Orange Zone,Children or adolescent,Local,209,High,0,1
Chhattisgarh,Raipur,52826,48183,722,Red Zone,Children or adolescent,Imported,209,Very High,2,3
Chhattisgarh,Rajnandgaon,18472,17124,167,Green Zone,Children or adolescent,Imported,209,High,0,3
Delhi,Delhi,626448,610535,10571,Orange Zone,Senior Citizens,Local,14675,Very High,41,2
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,1647,1634,1,Orange Zone,Children or adolescent,Local,200,Normal,0,0
Dadra and Nagar Haveli and Daman and Diu,Daman,1405,1377,1,Green Zone,Children or adolescent,Local,200,Normal,0,0
Gujarat,Ahmedabad,57944,52788,2254,Orange Zone,Senior Citizens,Local,213,Very High,8,2
Gujarat,Anand,2284,2210,17,Red Zone,Children or adolescent,Local,213,Normal,0,1
Gujarat,Bhavnagar,5835,5684,68,Red Zone,Children or adolescent,Local,213,Normal,0,1
Gujarat,Chhota Udaipur,870,849,3,Orange Zone,Senior Citizens,Local,213,Normal,0,2
Gujarat,Gandhinagar,8145,7881,105,Red Zone,Children or adolescent,Local,213,Normal,0,1
Gujarat,Jamnagar,10179,10008,35,Orange Zone,Children or adolescent,Local,213,Normal,0,0
Gujarat,Kutch,4073,3842,33,Orange Zone,Children or adolescent,Local,213,Normal,0,0
Gujarat,Mehsana,6726,6506,38,Orange Zone,Children or adolescent,Local,213,Normal,0,0
Gujarat,Morbi,3086,2838,18,Green Zone,Children or adolescent,Local,213,Normal,0,0
Gujarat,Panchmahal,4096,3933,21,Orange Zone,Senior Citizens,Local,213,Normal,0,2
Gujarat,Patan,4171,4066,53,Orange Zone,Children or adolescent,Local,213,Normal,0,0
Gujarat,Porbandar,706,694,4,Green Zone,Children or adolescent,Local,213,Normal,0,0
Gujarat,Rajkot,20348,19156,192,Orange Zone,Children or adolescent,Local,213,High,0,1
Gujarat,Sabarkantha,2813,2672,13,Orange Zone,Children or adolescent,Local,213,Normal,0,0
Gujarat,Surat,49686,47616,967,Red Zone,Children or adolescent,Local,213,High,3,1
Gujarat,Vadodara,25075,23099,236,Red Zone,Senior Citizens,Local,213,High,0,2
Himachal Pradesh,Chamba,2862,2693,49,Orange Zone,Children or adolescent,Local,333,Normal,0,0
Himachal Pradesh,Kangra,7785,7177,186,Orange Zone,Senior Citizens,Imported,333,Normal,0,2
Himachal Pradesh,Mandi,9699,9023,118,Green Zone,Children or adolescent,Local,333,Normal,0,0
Himachal Pradesh,Una,2747,2560,37,Orange Zone,Children or adolescent,Local,333,Normal,0,0
Haryana,Ambala,11555,11239,143,Orange Zone,Senior Citizens,Local,654,Normal,0,2
Haryana,Faridabad,45546,44865,402,Red Zone,Senior Citizens,Local,654,High,1,2
Haryana,Gurugram,56933,55720,343,Orange Zone,Children or adolescent,Imported,654,Very High,1,3
Haryana,Hisar,16952,16576,319,Orange Zone,Children or adolescent,Imported,654,High,1,3
Haryana,Panchkula,10027,9693,144,Orange Zone,Children or adolescent,Local,654,Normal,0,0
Haryana,Panipat,10544,10213,148,Orange Zone,Children or adolescent,Local,654,Normal,0,0
Haryana,Sonipat,14558,14333,79,Red Zone,Children or adolescent,Imported,654,High,0,3
Jharkhand,Ranchi,30628,29572,218,Red Zone,Children or adolescent,Local,190,High,0,1
Jammu and Kashmir,Bandipora,4654,4540,60,Red Zone,Children or adolescent,Local,200,Normal,0,1
Jammu and Kashmir,Jammu,23946,22742,355,Orange Zone,Senior Citizens,Imported,200,High,1,2
