State,District,Confirmed,Recovered,Deceased,Zone,Age Bracket,Transmission Type,Population Density,Predictions
Bihar,Munger,4168,4059,51,0,2,1,185,0
Bihar,Muzaffarpur,11634,11348,45,2,2,1,185,1
Bihar,Nalanda,8140,7995,56,1,2,1,185,4
Bihar,Nawada,4177,4023,23,1,2,1,185,4
Bihar,Patna,49372,46954,380,0,2,1,185,0
Bihar,Purnia,9273,9216,23,1,2,1,185,4
Bihar,Rohtas,6699,6609,45,0,2,1,185,0
Bihar,Saharsa,6739,6658,12,1,2,1,185,4
Bihar,Samastipur,5195,5129,34,2,2,1,185,1
Bihar,Saran,7159,6907,55,1,2,1,185,4
Bihar,Sheikhpura,2981,2964,13,2,2,1,185,1
Bihar,Sheohar,1447,1418,1,2,2,1,185,1
Bihar,Sitamarhi,4374,4271,15,2,2,1,185,1
Bihar,Siwan,4686,4603,32,1,2,1,185,4
Bihar,Supaul,5582,5536,18,2,2,1,185,1
Bihar,Vaishali,5425,5303,46,1,2,1,185,4
Bihar,West Champaran,5988,5886,22,1,2,1,185,4
Chandigarh,Chandigarh,19865,19226,319,0,2,1,230,0
Chhattisgarh,Durg,22843,20691,568,2,2,1,209,1
Chhattisgarh,Korba,16047,15803,110,1,2,1,209,4
Chhattisgarh,Raipur,52826,48183,722,0,2,0,209,3
Chhattisgarh,Rajnandgaon,18472,17124,167,2,2,0,209,3
Delhi,Delhi,626448,610535,10571,1,0,1,14675,5
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,1647,1634,1,1,2,1,200,4
Dadra and Nagar Haveli and Daman and Diu,Daman,1405,1377,1,2,2,1,200,1
Gujarat,Ahmedabad,57944,52788,2254,1,0,1,213,5
Gujarat,Anand,2284,2210,17,0,2,1,213,0
Gujarat,Bhavnagar,5835,5684,68,0,2,1,213,0
Gujarat,Chhota Udaipur,870,849,3,1,0,1,213,5
Gujarat,Gandhinagar,8145,7881,105,0,2,1,213,0
Gujarat,Jamnagar,10179,10008,35,1,2,1,213,4
Gujarat,Kutch,4073,3842,33,1,2,1,213,4
Gujarat,Mehsana,6726,6506,38,1,2,1,213,4
Gujarat,Morbi,3086,2838,18,2,2,1,213,1
Gujarat,Panchmahal,4096,3933,21,1,0,1,213,5
Gujarat,Patan,4171,4066,53,1,2,1,213,4
Gujarat,Porbandar,706,694,4,2,2,1,213,1
Gujarat,Rajkot,20348,19156,192,1,2,1,213,4
Gujarat,Sabarkantha,2813,2672,13,1,2,1,213,4
Gujarat,Surat,49686,47616,967,0,2,1,213,0
Gujarat,Vadodara,25075,23099,236,0,0,1,213,2
Himachal Pradesh,Chamba,2862,2693,49,1,2,1,333,4
Himachal Pradesh,Kangra,7785,7177,186,1,0,0,333,5
Himachal Pradesh,Mandi,9699,9023,118,2,2,1,333,1
Himachal Pradesh,Una,2747,2560,37,1,2,1,333,4
Haryana,Ambala,11555,11239,143,1,0,1,654,5
Haryana,Faridabad,45546,44865,402,0,0,1,654,2
Haryana,Gurugram,56933,55720,343,1,2,0,654,3
Haryana,Hisar,16952,16576,319,1,2,0,654,3
Haryana,Panchkula,10027,9693,144,1,2,1,654,4
Haryana,Panipat,10544,10213,148,1,2,1,654,4
Haryana,Sonipat,14558,14333,79,0,2,0,654,3
Jharkhand,Ranchi,30628,29572,218,0,2,1,190,0
Jammu and Kashmir,Bandipora,4654,4540,60,0,2,1,200,0
Jammu and Kashmir,Jammu,23946,22742,355,1,0,0,200,5
Jammu and Kashmir,Srinagar,25422,24391,450,0,2,1,200,0
Karnataka,Bagalkote,13695,13520,136,1,2,1,197,4
Karnataka,Ballari,38882,38138,597,1,2,1,197,4
Karnataka,Belagavi,26289,25752,342,1,2,1,197,4
Karnataka,Bengaluru Rural,18300,17893,152,0,2,1,197,0
Karnataka,Bengaluru Urban,389193,377906,4322,0,2,1,197,0
Karnataka,Bidar,7269,7051,171,1,2,1,197,4
Karnataka,Chamarajanagara,6801,6596,119,2,2,1,197,1
Karnataka,Chikkaballapura,13029,12712,117,1,2,1,197,4
Karnataka,Chikkamagaluru,13703,13439,139,2,2,1,197,1
Karnataka,Chitradurga,14314,14072,68,1,2,1,197,4
Karnataka,Dakshina Kannada,32948,31914,734,1,2,1,197,4
Karnataka,Davanagere,22041,21689,264,1,2,1,197,4
Karnataka,Dharwad,21882,21183,609,1,2,1,197,4
Karnataka,Gadag,10920,10753,141,1,2,1,197,4
Karnataka,Hassan,28033,27434,393,2,2,1,197,1
Karnataka,Haveri,10965,10757,190,2,2,1,197,1
Karnataka,Kalaburagi,21111,20612,323,1,2,1,197,4
Karnataka,Kodagu,5761,5587,71,2,2,1,197,1
Karnataka,Kolar,9731,9428,176,2,2,1,197,1
Karnataka,Koppal,13884,13568,279,2,2,1,197,1
Karnataka,Mandya,19460,19162,147,1,2,1,197,4
Karnataka,Mysuru,52498,51094,1015,0,2,1,197,0
Karnataka,Raichur,14165,13959,158,2,2,1,197,1
Karnataka,Ramanagara,7381,7282,77,2,2,1,197,1
Karnataka,Shivamogga,22068,21511,348,2,2,1,197,1
Karnataka,Tumakuru,24587,23887,378,1,2,1,197,4
Karnataka,Udupi,23085,22815,188,2,2,1,197,1
Karnataka,Uttara Kannada,14272,13993,176,1,2,1,197,4
Karnataka,Vijayapura,14233,13932,205,1,2,1,197,4
Karnataka,Yadgir,10592,10504,61,2,2,1,197,1
Kerala,Alappuzha,58075,53958,243,1,0,1,415,5
Kerala,Ernakulam,84853,75742,318,2,0,1,415,5
Kerala,Idukki,16862,13816,20,1,2,1,415,4
Kerala,Kannur,40258,36431,203,0,0,1,415,2
Kerala,Kasaragod,24323,22531,86,1,2,1,415,4
Kerala,Kollam,60208,55142,220,1,0,1,415,5
Kerala,Kottayam,52265,45426,152,0,0,1,415,2
Kerala,Kozhikode,87327,81850,297,1,0,1,415,5
Kerala,Malappuram,91911,86587,346,1,0,1,415,5
Kerala,Palakkad,48468,43507,134,1,0,1,415,5
Kerala,Pathanamthitta,31444,24975,59,1,0,1,415,5
Kerala,Thiruvananthapuram,82574,78602,657,1,0,1,415,5
Kerala,Thrissur,75384,69353,331,1,0,1,415,5
Kerala,Wayanad,17301,14656,51,2,0,1,415,5
Ladakh,Leh,7369,7100,84,1,0,1,183,5
Maharashtra,Ahmednagar,69277,66615,1047,1,2,0,199,3
Maharashtra,Mumbai,294660,273634,11132,0,2,0,199,3
Maharashtra,Nagpur,126112,118358,3212,0,2,0,199,3
Maharashtra,Nashik,115791,112206,1906,0,2,1,199,0
Maharashtra,Pune,373727,352140,7767,0,2,1,199,0
Maharashtra,Raigad,66432,64410,1498,1,2,0,199,3
Maharashtra,Satara,54699,52087,1769,1,2,0,199,3
Maharashtra,Solapur,53574,50966,1765,0,2,1,199,0
Maharashtra,Thane,255248,239389,5590,0,2,0,199,3
Maharashtra,Yavatmal,13888,13100,395,0,2,0,199,3
